,의안번호,의안명,제안자구분,제안일자,의결일자,의결결과,주요내용,심사진행상태
62,2102237,장애물 없는 생활환경 인증에 관한 법률안(김원이의원 등 15인),의원,2020-07-21,,,,소관위접수
63,2102236,뇌연구 촉진법 일부개정법률안(이정문의원 등 11인),의원,2020-07-21,,,,소관위접수
64,2102235,교통약자의 이동편의 증진법 일부개정법률안(김원이의원 등 15인),의원,2020-07-21,,,,소관위접수
65,2102234,조세특례제한법 일부개정법률안(전주혜의원 등 12인),의원,2020-07-21,,,,소관위접수
66,2102233,산업재해보상보험법 일부개정법률안(임이자의원 등 10인),의원,2020-07-21,,,,소관위접수
67,2102232,국회법 일부개정법률안(진성준의원 등 10인),의원,2020-07-21,,,,소관위접수
68,2102231,의료사고 피해구제 및 의료분쟁 조정 등에 관한 법률 일부개정법률안(이정문의원 등 10인),의원,2020-07-21,,,,소관위접수
69,2102230,참전유공자 예우 및 단체설립에 관한 법률 일부개정법률안(이정문의원 등 10인),의원,2020-07-21,,,,소관위접수
70,2102229,장애인·노인·임산부 등의 편의증진 보장에 관한 법률 일부개정법률안(김원이의원 등 15인),의원,2020-07-21,,,,소관위접수
71,2102228,소방기본법 일부개정법률안(이정문의원 등 12인),의원,2020-07-21,,,,소관위접수
72,2102227,행정소송법 일부개정법률안(이정문의원 등 11인),의원,2020-07-21,,,,소관위접수
73,2102226,조세특례제한법 일부개정법률안(이종배의원 등 10인),의원,2020-07-21,,,,소관위접수
74,2102225,장사 등에 관한 법률 일부개정법률안(위성곤의원 등 10인),의원,2020-07-21,,,,소관위접수
75,2102224,자율방범대 설치 및 지원에 관한 법률안(이명수의원 등 13인),의원,2020-07-21,,,,소관위접수
76,2102223,약사법 일부개정법률안(김상희의원 등 10인),의원,2020-07-21,,,,소관위접수
77,2102222,도서관법 전부개정법률안(도종환의원 등 42인),의원,2020-07-21,,,,소관위접수
78,2102221,공직자윤리법 일부개정법률안(윤재갑의원 등 10인),의원,2020-07-21,,,,소관위접수
79,2102220,관광진흥법 일부개정법률안(위성곤의원 등 10인),의원,2020-07-21,,,,소관위접수
80,2102219,법원행정처장(조재연) 출석요구의 건(주호영의원 등 103인),의원,2020-07-21,,,,접수
81,2102218,영화 및 비디오물의 진흥에 관한 법률 일부개정법률안(이종성의원 등 10인),의원,2020-07-21,,,,소관위접수
82,2102217,공연법 일부개정법률안(이종성의원 등 10인),의원,2020-07-21,,,,소관위접수
83,2102216,학교보건법 일부개정법률안(허종식의원 등 11인),의원,2020-07-21,,,,소관위접수
84,2102215,국민연금법 일부개정법률안(김성주의원 등 13인),의원,2020-07-21,,,,소관위접수
85,2102214,중소기업 인력지원 특별법 일부개정법률안(홍석준의원 등 11인),의원,2020-07-21,,,,소관위접수
86,2102213,폐기물관리법 일부개정법률안(성일종의원 등 11인),의원,2020-07-21,,,,소관위접수
87,2102212,지방세특례제한법 일부개정법률안(권명호의원 등 11인),의원,2020-07-21,,,,소관위접수
88,2102211,아동복지법 일부개정법률안(최혜영의원 등 19인),의원,2020-07-21,,,,소관위접수
89,2102210,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안(최혜영의원 등 18인),의원,2020-07-21,,,,소관위접수
90,2102209,도시공원 및 녹지 등에 관한 법률 일부개정법률안(윤준병의원 등 13인),의원,2020-07-20,,,,소관위접수
91,2102208,벤처투자 촉진에 관한 법률 일부개정법률안(김경만의원 등 10인),의원,2020-07-20,,,,소관위접수
92,2102207,근로기준법 일부개정법률안(임이자의원 등 10인),의원,2020-07-20,,,,소관위접수
93,2102206,산업안전보건법 일부개정법률안(임이자의원 등 11인),의원,2020-07-20,,,,소관위접수
94,2102205,국민체육진흥법 일부개정법률안(이상헌의원 등 22인),의원,2020-07-20,,,,소관위심사
95,2102204,독점규제 및 공정거래에 관한 법률 일부개정법률안(정청래의원 등 12인),의원,2020-07-20,,,,소관위접수
96,2102203,사립학교법 일부개정법률안(정청래의원 등 10인),의원,2020-07-20,,,,소관위접수
97,2102202,국민연금법 일부개정법률안(김성주의원 등 13인),의원,2020-07-20,,,,소관위접수
98,2102201,유통산업발전법 일부개정법률안(이종배의원 등 10인),의원,2020-07-20,,,,소관위접수
99,2102200,중소기업 인력지원 특별법 일부개정법률안(김도읍의원 등 10인),의원,2020-07-20,,,,소관위접수
0,2102199,공공건축특별법안(허영의원 등 11인),의원,2020-07-20,,,,소관위접수
1,2102198,산업안전보건법 일부개정법률안(송갑석의원 등 12인),의원,2020-07-20,,,,소관위접수
2,2102197,전기공사업법 일부개정법률안(송갑석의원 등 11인),의원,2020-07-20,,,,소관위접수
3,2102196,지방세법 일부개정법률안(김예지의원 등 10인),의원,2020-07-20,,,,소관위접수
4,2102195,조세특례제한법 일부개정법률안(추경호의원 등 19인),의원,2020-07-20,,,,소관위접수
5,2102194,의용소방대 설치 및 운영에 관한 법률 일부개정법률안(최종윤의원 등 12인),의원,2020-07-20,,,,소관위접수
6,2102193,교통약자의 이동편의 증진법 일부개정법률안(김예지의원 등 10인),의원,2020-07-20,,,,소관위접수
7,2102192,의무소방대설치법 일부개정법률안(최종윤의원 등 12인),의원,2020-07-20,,,,소관위접수
8,2102191,소방공무원 보건안전 및 복지 기본법 일부개정법률안(최종윤의원 등 12인),의원,2020-07-20,,,,소관위접수
9,2102190,화학물질관리법 일부개정법률안,정부,2020-07-20,,,,소관위접수
10,2102189,소득세법 일부개정법률안(윤두현의원 등 15인),의원,2020-07-20,,,,소관위접수
11,2102188,전기사업법 일부개정법률안(송갑석의원 등 11인),의원,2020-07-20,,,,소관위접수
12,2102187,도시공원 및 녹지 등에 관한 법률 일부개정법률안(강기윤의원 등 10인),의원,2020-07-20,,,,소관위접수
13,2102186,법무부장관(추미애) 탄핵소추안(주호영의원 등 110인),의원,2020-07-20,2020-07-23,부결,,본회의의결
14,2102185,공직선거법 일부개정법률안(이채익의원 등 13인),의원,2020-07-20,,,,소관위접수
15,2102184,물가안정에 관한 법률 일부개정법률안(김영진의원 등 11인),의원,2020-07-20,,,,소관위접수
16,2102183,지방세특례제한법 일부개정법률안(이상민의원 등 10인),의원,2020-07-20,,,,소관위접수
17,2102182,공유부동산의 분할에 관한 특례법안(강기윤의원 등 10인),의원,2020-07-20,,,,소관위접수
18,2102181,공중화장실 등에 관한 법률 일부개정법률안(강기윤의원 등 10인),의원,2020-07-20,,,,소관위접수
19,2102180,국회법 일부개정법률안(이채익의원 등 12인),의원,2020-07-20,,,,소관위접수
20,2102179,자동차관리법 일부개정법률안(태영호의원 등 11인),의원,2020-07-20,,,,소관위접수
21,2102178,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안(조경태의원 등 13인),의원,2020-07-20,,,,소관위접수
22,2102177,특허법 일부개정법률안(김정호의원 등 10인),의원,2020-07-20,,,,소관위접수
23,2102176,디자인보호법 일부개정법률안(김정호의원 등 10인),의원,2020-07-20,,,,소관위접수
24,2102175,철도안전법 일부개정법률안(이헌승의원 등 11인),의원,2020-07-20,,,,소관위접수
25,2102174,공직선거법 일부개정법률안(강병원의원 등 11인),의원,2020-07-20,,,,소관위접수
26,2102173,도시재생 활성화 및 지원에 관한 특별법 일부개정법률안(김정호의원 등 10인),의원,2020-07-20,,,,소관위접수
27,2102172,전자정부법 일부개정법률안(김정호의원 등 10인),의원,2020-07-20,,,,소관위접수
28,2102171,자율방범대 설치 및 지원에 관한 법률안(서일준의원 등 21인),의원,2020-07-20,,,,소관위접수
29,2102170,중소기업기본법 일부개정법률안(김정호의원 등 10인),의원,2020-07-20,,,,소관위접수
30,2102169,개발이익 환수에 관한 법률 일부개정법률안(김정호의원 등 11인),의원,2020-07-20,,,,소관위접수
31,2102168,각급 법원의 설치와 관할구역에 관한 법률 일부개정법률안(김민철의원 등 19인),의원,2020-07-20,,,,소관위접수
32,2102167,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육·사회·문화에 관한 질문)(김태년의원ㆍ주호영의원 외 277인),의원,2020-07-20,2020-07-20,원안가결,,본회의의결
33,2102166,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)(김태년의원ㆍ주호영의원 외 277인),의원,2020-07-20,2020-07-20,원안가결,,본회의의결
34,2102165,국무총리 및 국무위원 출석요구의 건(정치·외교·통일·안보에 관한 질문)(김태년의원ㆍ주호영의원 외 277인),의원,2020-07-20,2020-07-20,원안가결,,본회의의결
35,2102164,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)(김태년의원ㆍ주호영의원 외 277인),의원,2020-07-20,2020-07-20,원안가결,,본회의의결
36,2102163,조세특례제한법 일부개정법률안(권성동의원 등 10인),의원,2020-07-20,,,,소관위접수
37,2102162,자연공원법 일부개정법률안,정부,2020-07-17,,,,소관위접수
38,2102161,건설폐기물의 재활용촉진에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
39,2102160,소음·진동관리법 일부개정법률안,정부,2020-07-17,,,,소관위접수
40,2102159,소방기본법 일부개정법률안(이재정의원 등 11인),의원,2020-07-17,,,,소관위접수
41,2102158,국민투표법 전부개정법률안(김영배의원 등 27인),의원,2020-07-17,,,,소관위접수
42,2102157,아동복지법 일부개정법률안(정청래의원 등 10인),의원,2020-07-17,,,,소관위접수
43,2102156,민간임대주택에 관한 특별법 일부개정법률안(진성준의원 등 17인),의원,2020-07-17,2020-08-04,대안반영폐기,,대안반영폐기
44,2102155,아동복지법 일부개정법률안(정청래의원 등 10인),의원,2020-07-17,,,,소관위접수
45,2102154,119구조·구급에 관한 법률 일부개정법률안(이재정의원 등 10인),의원,2020-07-17,,,,소관위접수
46,2102153,국민연금법 일부개정법률안(정청래의원 등 11인),의원,2020-07-17,,,,소관위접수
47,2102152,담배의 유해성 관리에 관한 법률안(최혜영의원 등 17인),의원,2020-07-17,,,,소관위접수
48,2102151,공직선거법 일부개정법률안(이재정의원 등 11인),의원,2020-07-17,,,,소관위접수
49,2102150,액화석유가스의 안전관리 및 사업법 일부개정법률안(전용기의원 등 10인),의원,2020-07-17,,,,소관위접수
50,2102149,폐기물관리법 일부개정법률안(박대수의원 등 10인),의원,2020-07-17,,,,소관위접수
51,2102148,국민체육진흥법 일부개정법률안(안민석의원 등 12인),의원,2020-07-17,2020-08-04,대안반영폐기,,대안반영폐기
52,2102147,공항소음 방지 및 소음대책지역 지원에 관한 법률 일부개정법률안(김도읍의원 등 10인),의원,2020-07-17,,,,소관위접수
53,2102146,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안(이병훈의원 등 11인),의원,2020-07-17,,,,소관위접수
54,2102145,법인세법 일부개정법률안(추경호의원 등 15인),의원,2020-07-17,,,,소관위접수
55,2102144,취업 후 학자금 상환 특별법 일부개정법률안(김남국의원 등 14인),의원,2020-07-17,,,,소관위접수
56,2102143,조세특례제한법 일부개정법률안(추경호의원 등 15인),의원,2020-07-17,,,,소관위접수
57,2102142,식품위생법 일부개정법률안(이병훈의원 등 14인),의원,2020-07-17,,,,소관위접수
58,2102141,보험업법 일부개정법률안(전재수의원 등 10인),의원,2020-07-17,,,,소관위접수
59,2102140,도로교통법 일부개정법률안(서영석의원 등 14인),의원,2020-07-17,,,,소관위접수
60,2102139,국회입법조사처법 일부개정법률안(정경희의원 등 10인),의원,2020-07-17,,,,소관위접수
61,2102138,식품위생법 일부개정법률안(이병훈의원 등 10인),의원,2020-07-17,,,,소관위접수
62,2102137,국회법 일부개정법률안(정경희의원 등 10인),의원,2020-07-17,,,,소관위접수
63,2102136,조세특례제한법 일부개정법률안(김경만의원 등 15인),의원,2020-07-17,,,,소관위접수
64,2102135,지방세특례제한법 일부개정법률안(김경만의원 등 15인),의원,2020-07-17,,,,소관위접수
65,2102134,아동복지법 일부개정법률안(고영인의원 등 18인),의원,2020-07-17,,,,소관위접수
66,2102133,점자법 일부개정법률안(김예지의원 등 10인),의원,2020-07-17,,,,소관위접수
67,2102132,산업교육진흥 및 산학연협력촉진에 관한 법률 일부개정법률안(김철민의원 등 11인),의원,2020-07-17,,,,소관위접수
68,2102131,채용절차의 공정화에 관한 법률 일부개정법률안(김남국의원 등 12인),의원,2020-07-17,,,,소관위접수
69,2102130,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안(정청래의원 등 11인),의원,2020-07-17,,,,소관위접수
70,2102129,사립학교법 일부개정법률안(정청래의원 등 10인),의원,2020-07-17,,,,소관위접수
71,2102128,부동산투자회사법 일부개정법률안(김철민의원 등 10인),의원,2020-07-17,,,,소관위접수
72,2102127,환경분야 시험·검사 등에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
73,2102126,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안(고영인의원 등 19인),의원,2020-07-17,,,,소관위접수
74,2102125,법령 등 공포에 관한 법률 일부개정법률안(설훈의원 등 22인),의원,2020-07-17,,,,소관위접수
75,2102124,취업 후 학자금 상환 특별법 일부개정법률안(김철민의원 등 11인),의원,2020-07-17,,,,소관위접수
76,2102123,민법 일부개정법률안(고영인의원 등 20인),의원,2020-07-17,,,,소관위접수
77,2102122,환경기술 및 환경산업 지원법 일부개정법률안,정부,2020-07-17,,,,소관위접수
78,2102121,한국장학재단 설립 등에 관한 법률 일부개정법률안(김철민의원 등 11인),의원,2020-07-17,,,,소관위접수
79,2102120,교육기본법 일부개정법률안(박상혁의원 등 37인),의원,2020-07-17,,,,소관위접수
80,2102119,초·중등교육법 일부개정법률안(박상혁의원 등 37인),의원,2020-07-17,,,,소관위접수
81,2102118,도로교통법 일부개정법률안(박상혁의원 등 30인),의원,2020-07-17,,,,소관위접수
82,2102117,개별소비세법 일부개정법률안(김상훈의원 등 10인),의원,2020-07-17,,,,소관위접수
83,2102116,공동주택관리법 일부개정법률안(장경태의원 등 12인),의원,2020-07-17,,,,소관위접수
84,2102115,전기·전자제품 및 자동차의 자원순환에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
85,2102114,산업집적활성화 및 공장설립에 관한 법률 일부개정법률안(구자근의원 등 10인),의원,2020-07-17,,,,소관위접수
86,2102113,학교체육 진흥법 일부개정법률안(안민석의원 등 15인),의원,2020-07-17,,,,소관위접수
87,2102112,자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
88,2102111,대도시권 광역교통 관리에 관한 특별법 일부개정법률안(조응천의원 등 10인),의원,2020-07-17,,,,소관위접수
89,2102110,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안(조응천의원 등 10인),의원,2020-07-17,,,,소관위접수
90,2102109,조세특례제한법 일부개정법률안(김선교의원 등 10인),의원,2020-07-17,,,,소관위접수
91,2102108,한국전통문화대학교 설치법 일부개정법률안,정부,2020-07-17,,,,소관위접수
92,2102107,토양환경보전법 일부개정법률안,정부,2020-07-17,,,,소관위접수
93,2102106,국민의 형사재판 참여에 관한 법률 일부개정법률안(조정훈의원 등 10인),의원,2020-07-17,,,,소관위접수
94,2102105,먹는물관리법 일부개정법률안,정부,2020-07-17,,,,소관위접수
95,2102104,환경정책기본법 일부개정법률안,정부,2020-07-17,,,,소관위접수
96,2102103,가축분뇨의 관리 및 이용에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
97,2102102,전기·전자제품 및 자동차의 자원순환에 관한 법률 일부개정법률안(박대수의원 등 11인),의원,2020-07-17,,,,소관위접수
98,2102101,석면안전관리법 일부개정법률안,정부,2020-07-17,,,,소관위접수
99,2102100,소송촉진 등에 관한 특례법 일부개정법률안(박범계의원 등 15인),의원,2020-07-17,,,,소관위접수
0,2102099,취업 후 학자금 상환 특별법 일부개정법률안(민형배의원 등 12인),의원,2020-07-17,,,,소관위접수
1,2102098,지하수법 일부개정법률안,정부,2020-07-17,,,,소관위접수
2,2102097,한국마사회법 일부개정법률안(정점식의원 등 10인),의원,2020-07-17,,,,소관위접수
3,2102096,환경오염시설의 통합관리에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
4,2102095,화물자동차 운수사업법 일부개정법률안(임종성의원 등 13인),의원,2020-07-17,,,,소관위접수
5,2102094,폐기물의 국가 간 이동 및 그 처리에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
6,2102093,조세특례제한법 일부개정법률안(이원욱의원 등 12인),의원,2020-07-17,,,,소관위접수
7,2102092,물환경보전법 일부개정법률안(장철민의원 등 12인),의원,2020-07-17,,,,소관위접수
8,2102091,공직자윤리법 일부개정법률안(신정훈의원 등 15인),의원,2020-07-17,,,,소관위접수
9,2102090,하수도법 일부개정법률안,정부,2020-07-17,,,,소관위접수
10,2102089,감염병의 예방 및 관리에 관한 법률 일부개정법률안(민형배의원 등 11인),의원,2020-07-17,,,,소관위접수
11,2102088,먹는물관리법 일부개정법률안(장철민의원 등 13인),의원,2020-07-17,,,,소관위접수
12,2102087,하수도법 일부개정법률안(이병훈의원 등 14인),의원,2020-07-17,,,,소관위접수
13,2102086,근로기준법 일부개정법률안(이병훈의원 등 11인),의원,2020-07-17,,,,소관위접수
14,2102085,잔류성오염물질 관리법 일부개정법률안,정부,2020-07-17,,,,소관위접수
15,2102084,국경일에 관한 법률 일부개정법률안(조태용의원 등 20인),의원,2020-07-17,,,,소관위접수
16,2102083,관세법 일부개정법률안(조정식의원 등 10인),의원,2020-07-17,,,,소관위접수
17,2102082,사회보장급여의 이용·제공 및 수급권자 발굴에 관한 법률 일부개정법률안(민형배의원 등 11인),의원,2020-07-17,,,,소관위접수
18,2102081,새마을금고법 일부개정법률안(유동수의원 등 12인),의원,2020-07-17,,,,소관위접수
19,2102080,아동복지법 일부개정법률안(조명희의원 등 10인),의원,2020-07-17,,,,소관위접수
20,2102079,초·중등교육법 일부개정법률안(임오경의원 등 10인),의원,2020-07-17,,,,소관위접수
21,2102078,신용협동조합법 일부개정법률안(유동수의원 등 12인),의원,2020-07-17,,,,소관위접수
22,2102077,고등교육법 일부개정법률안(조오섭의원 등 17인),의원,2020-07-17,,,,소관위접수
23,2102076,물의 재이용 촉진 및 지원에 관한 법률 일부개정법률안,정부,2020-07-17,,,,소관위접수
24,2102075,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안(민형배의원 등 12인),의원,2020-07-17,,,,소관위접수
25,2102074,신행정수도 후속대책을 위한 연기·공주지역 행정중심복합도시 건설을 위한 특별법 일부개정법률안(강준현의원 등 12인),의원,2020-07-17,,,,소관위접수
26,2102073,장애인고용촉진 및 직업재활법 일부개정법률안(조오섭의원 등 14인),의원,2020-07-17,,,,소관위접수
27,2102072,이러닝(전자학습)산업 발전 및 이러닝 활용 촉진에 관한 법률 일부개정법률안(이장섭의원 등 14인),의원,2020-07-17,,,,소관위접수
28,2102071,유료도로법 일부개정법률안(조오섭의원 등 12인),의원,2020-07-17,,,,소관위접수
29,2102070,근로기준법 일부개정법률안(최종윤의원 등 12인),의원,2020-07-16,,,,소관위접수
30,2102069,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안(태영호의원 등 12인),의원,2020-07-16,,,,소관위접수
31,2102068,아동복지법 일부개정법률안(조명희의원 등 10인),의원,2020-07-16,,,,소관위접수
32,2102067,지방세법 일부개정법률안(김교흥의원 등 12인),의원,2020-07-16,,,,소관위접수
33,2102066,관광진흥법 일부개정법률안(이상헌의원 등 11인),의원,2020-07-16,,,,소관위접수
34,2102065,도시공원 및 녹지 등에 관한 법률 일부개정법률안(심상정의원 등 12인),의원,2020-07-16,,,,소관위접수
35,2102064,조세특례제한법 일부개정법률안(심상정의원 등 11인),의원,2020-07-16,,,,소관위접수
36,2102063,학교민주시민교육법안(박찬대의원 등 12인),의원,2020-07-16,,,,소관위접수
37,2102062,한국환경공단법 일부개정법률안(장철민의원 등 11인),의원,2020-07-16,,,,소관위접수
38,2102061,항공·철도 사고조사에 관한 법률 일부개정법률안,정부,2020-07-16,,,,소관위접수
39,2102060,환경정책기본법 일부개정법률안(심상정의원 등 12인),의원,2020-07-16,,,,소관위접수
40,2102059,대기환경보전법 일부개정법률안(장철민의원 등 12인),의원,2020-07-16,,,,소관위접수
41,2102058,하천법 일부개정법률안,정부,2020-07-16,,,,소관위접수
42,2102057,국민체육진흥법 일부개정법률안(홍정민의원 등 12인),의원,2020-07-16,2020-08-04,대안반영폐기,,대안반영폐기
43,2102056,구강보건법 일부개정법률안(신동근의원 등 11인),의원,2020-07-16,,,,소관위접수
44,2102055,지방세특례제한법 일부개정법률안(심상정의원 등 11인),의원,2020-07-16,,,,소관위접수
45,2102054,물환경보전법 일부개정법률안(장철민의원 등 13인),의원,2020-07-16,,,,소관위접수
46,2102053,교통시설특별회계법 일부개정법률안(심상정의원 등 12인),의원,2020-07-16,,,,소관위접수
47,2102052,자연환경보전법 일부개정법률안(장철민의원 등 13인),의원,2020-07-16,,,,소관위접수
48,2102051,국토의 계획 및 이용에 관한 법률 일부개정법률안(심상정의원 등 13인),의원,2020-07-16,,,,소관위접수
49,2102050,국가를 당사자로 하는 계약에 관한 법률 일부개정법률안(홍익표의원 등 13인),의원,2020-07-16,,,,소관위접수
50,2102049,지방자치단체를 당사자로 하는 계약에 관한 법률 일부개정법률안(홍익표의원 등 13인),의원,2020-07-16,,,,소관위접수
51,2102048,가족관계의 등록 등에 관한 법률 일부개정법률안(신동근의원 등 11인),의원,2020-07-16,,,,소관위접수
52,2102047,영유아보육법 일부개정법률안(신동근의원 등 10인),의원,2020-07-16,,,,소관위접수
53,2102046,부동산투자회사법 일부개정법률안,정부,2020-07-16,,,,소관위접수
54,2102045,국민건강증진법 일부개정법률안(신동근의원 등 11인),의원,2020-07-16,,,,소관위접수
55,2102044,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안,정부,2020-07-16,,,,소관위접수
56,2102043,국민체육진흥법 일부개정법률안(유정주의원 등 12인),의원,2020-07-16,2020-08-04,대안반영폐기,,대안반영폐기
57,2102042,조세특례제한법 일부개정법률안(김경만의원 등 10인),의원,2020-07-16,,,,소관위접수
58,2102041,응급의료에 관한 법률 일부개정법률안(강선우의원 등 12인),의원,2020-07-16,,,,소관위접수
59,2102040,보건의료기본법 일부개정법률안(강선우의원 등 13인),의원,2020-07-16,,,,소관위접수
60,2102039,대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안(송갑석의원 등 11인),의원,2020-07-16,,,,소관위접수
61,2102038,부정경쟁방지 및 영업비밀보호에 관한 법률 일부개정법률안(송옥주의원 등 10인),의원,2020-07-16,,,,소관위접수
62,2102037,국민건강증진법 일부개정법률안(이정문의원 등 12인),의원,2020-07-16,,,,소관위접수
63,2102036,주택법 일부개정법률안,정부,2020-07-16,,,,소관위접수
64,2102035,국민건강보험법 일부개정법률안(이정문의원 등 12인),의원,2020-07-16,,,,소관위접수
65,2102034,의료기기법 일부개정법률안(이정문의원 등 10인),의원,2020-07-16,,,,소관위접수
66,2102033,특수임무유공자 예우 및 단체설립에 관한 법률 일부개정법률안(이용빈의원 등 13인),의원,2020-07-16,,,,소관위접수
67,2102032,의료법 일부개정법률안(이정문의원 등 10인),의원,2020-07-16,,,,소관위접수
68,2102031,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(송언석의원 등 11인),의원,2020-07-16,,,,소관위접수
69,2102030,경륜·경정법 일부개정법률안(조경태의원 등 10인),의원,2020-07-16,,,,소관위접수
70,2102029,공무원 인재개발법 일부개정법률안,정부,2020-07-16,,,,소관위접수
71,2102028,근로기준법 일부개정법률안(태영호의원 등 11인),의원,2020-07-16,,,,소관위접수
72,2102027,병역법 일부개정법률안(태영호의원 등 14인),의원,2020-07-16,,,,소관위접수
73,2102026,이자제한법 일부개정법률안(송갑석의원 등 11인),의원,2020-07-16,,,,소관위접수
74,2102025,조세특례제한법 일부개정법률안(배현진의원 등 10인),의원,2020-07-16,,,,소관위접수
75,2102024,신용정보의 이용 및 보호에 관한 법률 일부개정법률안(송갑석의원 등 11인),의원,2020-07-16,,,,소관위접수
76,2102023,부가가치세법 일부개정법률안(권명호의원 등 10인),의원,2020-07-16,,,,소관위접수
77,2102022,종합부동산세법 일부개정법률안(윤희숙의원 등 11인),의원,2020-07-16,,,,소관위접수
78,2102021,도시 및 주거환경정비법 일부개정법률안,정부,2020-07-16,,,,소관위접수
79,2102020,민법 일부개정법률안(이형석의원 등 17인),의원,2020-07-16,,,,소관위접수
80,2102019,신행정수도 후속대책을 위한 연기·공주지역 행정중심복합도시 건설을 위한 특별법 일부개정법률안(강준현의원 등 11인),의원,2020-07-16,,,,소관위접수
81,2102018,근로자참여 및 협력증진에 관한 법률 일부개정법률안(송옥주의원 등 12인),의원,2020-07-16,,,,소관위접수
82,2102017,산업재해보상보험법 일부개정법률안(최승재의원 등 13인),의원,2020-07-16,,,,소관위접수
83,2102016,5·18민주유공자예우에 관한 법률 일부개정법률안(이용빈의원 등 68인),의원,2020-07-15,,,,소관위접수
84,2102015,새만금사업 추진 및 지원에 관한 특별법 일부개정법률안(안호영의원 등 10인),의원,2020-07-15,,,,소관위접수
85,2102014,여객자동차 운수사업법 일부개정법률안(신동근의원 등 10인),의원,2020-07-15,,,,소관위접수
86,2102013,국가재정법 일부개정법률안(김병욱의원 등 10인),의원,2020-07-15,,,,소관위접수
87,2102012,이자제한법 일부개정법률안(박홍근의원 등 12인),의원,2020-07-15,,,,소관위접수
88,2102011,조세특례제한법 일부개정법률안(정일영의원 등 13인),의원,2020-07-15,,,,소관위접수
89,2102010,서민의 금융생활 지원에 관한 법률 일부개정법률안(전재수의원 등 10인),의원,2020-07-15,,,,소관위접수
90,2102009,조세특례제한법 일부개정법률안(정성호의원 등 13인),의원,2020-07-15,,,,소관위접수
91,2102008,지역상권 상생 및 활성화에 관한 법률안(홍익표의원 등 10인),의원,2020-07-15,,,,소관위접수
92,2102007,조세특례제한법 일부개정법률안(안호영의원 등 10인),의원,2020-07-15,,,,소관위접수
93,2102006,국가균형발전 특별법 일부개정법률안(안호영의원 등 11인),의원,2020-07-15,,,,소관위접수
94,2102005,박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹 사건 규명을 위한 특별검사의 임명 등에 관한 법률 일부개정법률안(송기헌의원 등 11인),의원,2020-07-15,,,,소관위접수
95,2102004,환경오염시설의 통합관리에 관한 법률 일부개정법률안(송옥주의원 등 10인),의원,2020-07-15,,,,소관위접수
96,2102003,혁신도시 조성 및 발전에 관한 특별법 일부개정법률안(송기헌의원 등 10인),의원,2020-07-15,,,,소관위접수
97,2102002,경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안(조정식의원 등 10인),의원,2020-07-15,,,,소관위접수
98,2102001,건설기술 진흥법 일부개정법률안,정부,2020-07-15,,,,소관위접수
99,2102000,국민건강보험법 일부개정법률안(강기윤의원 등 10인),의원,2020-07-15,,,,소관위접수
0,2101999,시설물의 안전 및 유지관리에 관한 특별법 일부개정법률안,정부,2020-07-15,,,,소관위접수
1,2101998,물류정책기본법 일부개정법률안,정부,2020-07-15,,,,소관위접수
2,2101997,여객자동차 운수사업법 일부개정법률안(구자근의원 등 10인),의원,2020-07-15,,,,소관위접수
3,2101996,사립학교법 일부개정법률안(서동용의원 등 16인),의원,2020-07-15,,,,소관위접수
4,2101995,대기업등의 영업활동 공정화 및 소상공인 보호에 관한 법률안(김성원의원 등 11인),의원,2020-07-15,,,,소관위접수
5,2101994,국가재정법 일부개정법률안(윤희숙의원 등 11인),의원,2020-07-15,,,,소관위접수
6,2101993,지방자치법 일부개정법률안(정청래의원 등 14인),의원,2020-07-15,,,,소관위접수
7,2101992,신행정수도 후속대책을 위한 연기·공주지역 행정중심복합도시 건설을 위한 특별법 일부개정법률안(강준현의원 등 10인),의원,2020-07-15,,,,소관위접수
8,2101991,지방세법 일부개정법률안(박홍근의원 등 12인),의원,2020-07-15,,,,소관위접수
