,카테고리,제목,청원종료일,참여인원,URL
1000,문화/예술/체육/언론,"""***"" 유튜브 방송 정지 방법이 없을까요?",2020-01-19,"19,542",https://www1.president.go.kr/petitions/584125
1001,외교/통일/국방,중국인 유학생 청와대 견학시켜주세요,2020-03-28,"19,501",https://www1.president.go.kr/petitions/585725
1002,인권/성평등,再) 효과적인 성매매근절을 위하여 포주와 성구매자만 처벌하는 노르딕 모델을 도입해주세요,2018-12-08,"19,386",https://www1.president.go.kr/petitions/436476
1003,행정,임대사업자분들이 무슨 죄인가요 마녀사냥으로 몰지 마세요,2020-08-06,"19,348",https://www1.president.go.kr/petitions/590420
1004,정치개혁,패스트트랙 통과되자 국회경위에게 갑질하고 화풀이한 장제원 의원의 제명을 요구합니다,2019-05-30,"19,347",https://www1.president.go.kr/petitions/579836
1005,인권/성평등,출퇴근 시간 남녀 피해자들을 줄이기 위해 남성전용칸 또한 만드는 것을 고려해 주셨으면 합니다.,2018-06-16,"19,342",https://www1.president.go.kr/petitions/235936
1006,안전/환경,국내 마스크가 중국으로 전량 수출되고 있습니다.,2020-03-05,"19,320",https://www1.president.go.kr/petitions/584869
1007,육아/교육,초등 1.2학년 방과후 영어는 지속되어야 합니다.,2017-12-16,"19,275",https://www1.president.go.kr/petitions/45022
1008,경제민주화,CJ대한통운 택배노동자 집단해고를 막고 일자리를 지키는데 함께 해주시기 바랍니다,2018-03-09,"19,260",https://www1.president.go.kr/petitions/131806
1009,문화/예술/체육/언론,"언론사 허위보도시 동일지면, 동일분량, 동일시간으로 정정보도 시행해주세요.",2018-10-14,"19,243",https://www1.president.go.kr/petitions/380308
1010,안전/환경,대학가들이 장기적인 비대면 강의를 할 수 있도록 강력한 조치를 취해주세요.,2020-05-21,"19,239",https://www1.president.go.kr/petitions/588242
1011,기타,안녕하세요 궁금한이야기Y에 나온 현서 입니다,2019-11-27,"19,199",https://www1.president.go.kr/petitions/583321
1012,인권/성평등,"**대학교 **캠퍼스 보건의료행정과 김** 교수의 성추행, 성희롱 및 갑질",2018-10-18,"19,155",https://www1.president.go.kr/petitions/384623
1013,안전/환경,서울역 묻지마 폭행 용의자 특정+강력 처벌을 청원합니다.,2020-07-02,"19,155",https://www1.president.go.kr/petitions/589411
1014,인권/성평등,조두순이 곧 나옵니다. 재범위험군이 높은 범죄자는 출소 후 재범위험군이 낮아질때까지 치료시설에 강제입원 시켜주세요.,2020-04-29,"19,153",https://www1.president.go.kr/petitions/587452
1015,육아/교육,대입  입시비리의 온상인 수시를 폐지해주십시오,2019-09-20,"19,148",https://www1.president.go.kr/petitions/582195
1016,안전/환경,전국 학교에 휴교령을 내려주세요.,2018-09-21,"19,109",https://www1.president.go.kr/petitions/350908
1017,교통/건축/국토,2020년 공시가격 인상안의 전면철회를 청원합니다.,2020-04-30,"19,068",https://www1.president.go.kr/petitions/587525
1018,반려동물,계양산개농장철거!!!,2020-07-08,"19,027",https://www1.president.go.kr/petitions/589531
1019,반려동물,대한민국 올바른 동물병원 진료비 개선과 동물보호법 개정에 대해 청원합니다.,2019-05-19,"18,994",https://www1.president.go.kr/petitions/579646
1020,보건복지,이재용은 국민연금 손해액8000억원을 전액배상하라!!,2018-03-10,"18,989",https://www1.president.go.kr/petitions/134031
1021,일자리,현재 방과후 강사 급여 '0'원입니다.,2020-04-16,"18,948",https://www1.president.go.kr/petitions/586771
1022,안전/환경,전라남도 목포 친구를 뇌사상태로 만든 가해학생 처벌을 청원합니다,2018-11-22,"18,938",https://www1.president.go.kr/petitions/417305
1023,육아/교육,아이들의 공간인 학교에 공기청정기를 설치해주세요,2018-04-11,"18,904",https://www1.president.go.kr/petitions/164871
1024,안전/환경,괴산군 의료폐기물 소각장 설치 반대,2019-04-02,"18,903",https://www1.president.go.kr/petitions/544644
1025,인권/성평등,"윤락행위, 약물복용, 개와 성관계 등을 장애 청소년에게 시켰습니다.",2018-12-24,"18,866",https://www1.president.go.kr/petitions/451710
1026,인권/성평등,"“56년 만의 미투, 재심으로 정의를!” 성폭력 피해자의 정당방위 인정을 위한 재심 개시를 촉구합니다",2020-06-04,"18,839",https://www1.president.go.kr/petitions/588603
1027,기타,구미경찰서,2020-02-22,"18,836",https://www1.president.go.kr/petitions/584602
1028,인권/성평등,부천링거 사망사건 누나입니다. 동생의 억울한 죽음을 밝혀주세요.!!,2019-05-08,"18,815",https://www1.president.go.kr/petitions/579464
1029,보건복지,국민건강보험과 국민 세금으로 외국인 및 난민에게 무분별하게 의료비를 지원하지 마십시오.,2018-08-09,"18,804",https://www1.president.go.kr/petitions/301620
1030,안전/환경,교통사고후 차량에서 8시간동안 방치되어 있던 제친구를 도와주세요,2018-12-25,"18,781",https://www1.president.go.kr/petitions/452057
1031,보건복지,고물줍던 60대를 차로 친 뺑소니범을 강력 처벌해주세요,2020-05-27,"18,777",https://www1.president.go.kr/petitions/588395
1032,문화/예술/체육/언론,언론은 사실관계를 정확하게 파악하고 보도하도록 해주시기 바랍니다.(학교에 근무하는 교육공무직들은 대부분 비정규직이 아니라 무기계약직입니다.),2019-07-26,"18,767",https://www1.president.go.kr/petitions/581089
1033,외교/통일/국방,군형법 92-6 토론회를 열어주세요!,2020-07-31,"18,759",https://www1.president.go.kr/petitions/590271
1034,외교/통일/국방,사망한 아들의 부대 관련자와 면담 좀 하게 해 주세요.,2020-05-07,"18,742",https://www1.president.go.kr/petitions/587846
1035,행정,지자체에서 세금으로 지원된 비축분에 대하여 임의로 국외반출하지 못하도록 행정명령을 내려주세요.,2020-06-21,"18,734",https://www1.president.go.kr/petitions/589154
1036,인권/성평등,어이없는 이유로 여성을 죽인 창원 살인사건에 관심을 가져주세요.,2020-06-11,"18,714",https://www1.president.go.kr/petitions/588809
1037,문화/예술/체육/언론,언론의 자유라는 미명하에 여러 언론사에서 난립하고 있는 정치관련 프로그램의 여론조작을 막을수있는 방송법을 개정해 주세요.,2019-11-17,"18,695",https://www1.president.go.kr/petitions/583165
1038,교통/건축/국토,포항 지열발전소 건설이 지진에 미치는 영향이 없는지 밝혀주세요!,2017-12-15,"18,687",https://www1.president.go.kr/petitions/44477
1039,기타,제 친구를 말도 안되는 이유로 폭행한 가해자를 처벌해주세요.,2020-02-22,"18,663",https://www1.president.go.kr/petitions/584592
1040,기타,마약 성매매알선 탈세의혹을 받고있는 **멤버 ** 군입대 반대합니다.,2019-04-07,"18,617",https://www1.president.go.kr/petitions/553592
