,카테고리,제목,청원종료일,참여인원,URL
0,안전/환경,텔레그램 n번방 용의자 신상공개 및 포토라인 세워주세요,2020-04-17,"2,715,626",https://www1.president.go.kr/petitions/586819
1,안전/환경,텔레그램 n번방 가입자 전원의 신상공개를 원합니다,2020-04-19,"2,026,252",https://www1.president.go.kr/petitions/586880
2,정치개혁,자유 한국당 정당해산 청원,2019-05-22,"1,831,900",https://www1.president.go.kr/petitions/579682
3,기타,문재인 대통령님을 응원 합니다!,2020-03-27,"1,504,597",https://www1.president.go.kr/petitions/585683
4,정치개혁,문재인 대통령 탄핵을 촉구합니다.,2020-03-05,"1,469,023",https://www1.president.go.kr/petitions/584936
5,인권/성평등,"신천지 예수교 증거장막성전(이하, 신천지)의 강제 해체(해산)을 청원합니다.",2020-03-23,"1,449,521",https://www1.president.go.kr/petitions/585290
6,안전/환경,강서구 피시방 살인 사건. 또 심신미약 피의자입니다.,2018-11-16,"1,192,049",https://www1.president.go.kr/petitions/408609
7,기타,렌트카 훔쳐 사망사고를 낸 10대 엄중 처벌해주세요,2020-05-02,"1,007,040",https://www1.president.go.kr/petitions/587624
8,보건복지,중국인 입국 금지 요청,2020-02-22,"761,833",https://www1.president.go.kr/petitions/584593
9,정치개혁,청와대는 조국 법무부장관 후보자의 임명을 반드시 해주십시오!!,2019-09-20,"757,730",https://www1.president.go.kr/petitions/582190
10,기타,故장자연씨의 수사 기간 연장 및 재수사를 청원합니다.,2019-04-11,"738,566",https://www1.president.go.kr/petitions/559071
11,안전/환경,응급환자가 있는 구급차를 막아세운 택시 기사를 처벌해 주세요.,2020-08-02,"735,972",https://www1.president.go.kr/petitions/590341
12,외교/통일/국방,"제주도 불법 난민 신청 문제에 따른 난민법, 무사증 입국, 난민신청허가 폐지/개헌 청원합니다.",2018-07-13,"714,875",https://www1.president.go.kr/petitions/269548
13,안전/환경,"가해자 n번방박사,n번방회원 모두 처벌해주세요",2020-04-19,"650,579",https://www1.president.go.kr/petitions/586885
14,미래,조두순 출소반대,2017-12-05,"615,354",https://www1.president.go.kr/petitions/10949
15,문화/예술/체육/언론,"김보름, 박지우 선수의 자격박탈과 적폐 빙상연맹의 엄중 처벌을 청원합니다",2018-03-21,"614,127",https://www1.president.go.kr/petitions/142600
16,인권/성평등,"박원순씨 장례를 5일장, 서울특별시장(葬)으로 하는 것 반대합니다.",2020-08-09,"596,410",https://www1.president.go.kr/petitions/590550
17,육아/교육,저희 25개월딸이 초등학생 5학년에게 성폭행을 당했습니다,2020-04-19,"533,883",https://www1.president.go.kr/petitions/586860
18,인권/성평등,강영수 서울고법 수석부장판사의 대법관 후보 자격 박탈을 청원합니다.,2020-08-05,"529,144",https://www1.president.go.kr/petitions/590416
19,안전/환경,박사방 회원 중 여아살해모의한 공익근무요원 신상공개를 원합니다.,2020-04-28,"519,948",https://www1.president.go.kr/petitions/587335
20,보건복지,코로나19의 확산방지를 위해 애써주시는 문재인대통령님과 질병관리본부 및 정부부처 관계자분들께 감사드립니다.,2020-03-27,"491,136",https://www1.president.go.kr/petitions/585682
21,정치개혁,기밀누설죄를 범한 윤석열 총장을 처벌해 주십시요.,2019-09-27,"481,076",https://www1.president.go.kr/petitions/582351
22,인권/성평등,"N번방 담당판사 오덕식을 판사자리에 반대,자격박탈을 청원합니다.",2020-04-26,"466,900",https://www1.president.go.kr/petitions/587323
23,인권/성평등,N번방 대화 참여자들도 명단을 공개하고 처벌해주십시오,2020-04-19,"457,487",https://www1.president.go.kr/petitions/586879
24,인권/성평등,저희 아파트 경비아저씨의 억울함을 풀어주세요...,2020-06-10,"446,434",https://www1.president.go.kr/petitions/588752
25,기타,코로나19로 위기에 처한  국민들을위해 국회의원들의 월급반납 또는 삭감을  건의합니다,2020-04-11,"439,648",https://www1.president.go.kr/petitions/586609
26,행정,정부의 교회 정규 예배 이외 행사 금지를 취소해주세요.,2020-08-07,"427,470",https://www1.president.go.kr/petitions/590504
27,인권/성평등,여성도 대한민국 국민입니다. 성별 관계없는 국가의 보호를 요청합니다.,2018-06-10,"419,006",https://www1.president.go.kr/petitions/230552
28,인권/성평등,"132cm, 31kg의 왜소한 50대 여성이 180cm가 넘는 건장한 20세 남성에게 아무런 이유없이 끔찍한 폭행을 당해 숨졌습니다.",2018-11-30,"416,093",https://www1.president.go.kr/petitions/426834
29,안전/환경,어린이들의 생명안전법안 통과를 촉구해주시길 간곡히 부탁드립니다,2019-12-11,"415,691",https://www1.president.go.kr/petitions/583543
30,육아/교육,23개월 아기가 폭행에 장이 끊어져 죽었습니다.,2018-08-21,"413,924",https://www1.president.go.kr/petitions/314584
31,교통/건축/국토,음주운전 교통사고로 친구 인생이 박살났습니다. 제발 도와주세요,2018-11-01,"406,655",https://www1.president.go.kr/petitions/395955
32,인권/성평등,“오늘 너 킬(KILL)한다”라며 술을 먹이고 제 딸을 합동 강간한 미성년자들을 고발합니다.,2020-04-28,"400,474",https://www1.president.go.kr/petitions/587352
33,인권/성평등,억울하게 떠나신 저의 아버지의 원한을 풀어주세요,2018-12-09,"397,079",https://www1.president.go.kr/petitions/437737
34,기타,고 장자연씨 관련 증언한 윤**씨 신변보호 청원,2019-04-07,"386,506",https://www1.president.go.kr/petitions/553263
35,기타,수출용 코로나19 진단키트 이름을 독도로 해주세요,2020-04-24,"385,617",https://www1.president.go.kr/petitions/587169
36,일자리,한전 사업에 중국 기업의 참여를 허락하는 것은 말도 안됩니다.,2020-03-27,"383,039",https://www1.president.go.kr/petitions/585665
37,안전/환경,소방공무원을 국가직으로 전환해주세요,2019-05-05,"380,769",https://www1.president.go.kr/petitions/579426
38,인권/성평등,이수역 폭행사건,2018-12-14,"365,418",https://www1.president.go.kr/petitions/442093
39,정치개혁,나경원 자한당 원내대표의 각종 의혹에 대한 특검 요청!,2019-09-27,"365,040",https://www1.president.go.kr/petitions/582349
40,문화/예술/체육/언론,연합뉴스에 국민혈세로 지급하는 연 300억원의 재정보조금 제도의 전면 폐지를 청원합니다.,2019-05-04,"364,920",https://www1.president.go.kr/petitions/579401
41,외교/통일/국방,나경원 의원 평창올림픽 위원직을 파면시켜주세요,2018-02-19,"360,905",https://www1.president.go.kr/petitions/105105
42,정치개혁,문재인 대통령님의 탄핵을 원하지 않습니다.,2020-03-28,"356,032",https://www1.president.go.kr/petitions/585795
43,기타,"가해자들은 떳떳이 생활하고, 집단 성폭행 당한 피해자인 저희아이는 오히려 더 죄인같이 생활하고 있습니다. 미성년자 성폭행범 처벌을 더 강하하여 주세요.",2018-07-24,"354,935",https://www1.president.go.kr/petitions/282903
44,교통/건축/국토,민식이 법 개정을 청원합니다.,2020-04-22,"354,857",https://www1.president.go.kr/petitions/586941
45,인권/성평등,초등학생을 성폭행하고 찍은 불법촬영물로 협박해 금품을 갈취하여 인생을 망가뜨린 고등학생의 엄중한 처벌을 요구합니다,2020-04-19,"354,260",https://www1.president.go.kr/petitions/586878
46,일자리,공기업 비정규직의 정규화 그만해주십오.,2020-07-23,"352,266",https://www1.president.go.kr/petitions/589941
47,안전/환경,텔레그램 아동.청소년 성노예 사건 철저한 수사 및 처벌 촉구합니다!!,2020-04-09,"348,634",https://www1.president.go.kr/petitions/586522
48,인권/성평등,우리딸을 성폭행한 후 잔인하게 목졸라 죽인 극악무도한 살인마를 사형시켜 주세요,2019-07-04,"348,417",https://www1.president.go.kr/petitions/580639
49,기타,윤석열 총장의 3대 의혹 수사팀을 해체하지 말라..,2020-02-05,"345,571",https://www1.president.go.kr/petitions/584335
50,정치개혁,더불어 민주당 정당해산청구!!,2019-05-29,"337,964",https://www1.president.go.kr/petitions/579779
51,정치개혁,추미애 법무장관의 해임을 청원합니다,2020-03-04,"335,181",https://www1.president.go.kr/petitions/584755
52,기타,(한번씩만 봐주세요.)저의 일은 아니지만 이런 일은 좀 강력 처벌 강력하게 조치 해주셔야할거 같아서 글을 올립니다.,2018-06-01,"334,173",https://www1.president.go.kr/petitions/219348
53,인권/성평등,제 남편의 억울함을 풀어주세요!,2018-10-06,"330,587",https://www1.president.go.kr/petitions/369690
54,인권/성평등,안녕하세요. 증인 윤지오입니다.,2019-04-29,"318,057",https://www1.president.go.kr/petitions/578761
55,기타,"경사 ***, 경장 *** 외 ***에서 뇌물받는지 조사부탁드립니다.",2019-02-28,"312,197",https://www1.president.go.kr/petitions/510422
56,정치개혁,조국 전 청와대 민정수석의 법무장관 임용을 반대합니다.,2019-09-11,"308,553",https://www1.president.go.kr/petitions/582019
57,정치개혁,아동포르노 사이트를 운영한 손모씨와 사이트 이용자들의 합당한 처벌을 원합니다.,2019-11-20,"306,638",https://www1.president.go.kr/petitions/583190
58,정치개혁,국민들은 정부 개헌안을 지지합니다. 정부의 개헌을 꼭 실현시켜 주십시오.,2018-04-12,"304,320",https://www1.president.go.kr/petitions/165796
59,정치개혁,여.야는 속히 공수처 신설하라 !!!,2019-02-06,"302,856",https://www1.president.go.kr/petitions/489302
60,외교/통일/국방,자주포 폭발사고로 전신화상을 입은 장병을 치료해 주시고 국가유공자로 지정해 주십시오,2018-06-17,"302,635",https://www1.president.go.kr/petitions/236397
61,행정,다산신도시 실버택배 비용은 입주민들의 관리비로 충당해야합니다.,2018-05-17,"302,082",https://www1.president.go.kr/petitions/203181
62,인권/성평등,청소년이란 이유로 보호법을 악용하는 잔인무도한 청소년들이 늘어나고있습니다. 반드시 청소년 보호법은 폐지해야합니다.,2017-11-02,"296,330",https://www1.president.go.kr/petitions/1785
63,인권/성평등,"'저의 딸이 강간 당하는 것을 목격하여..'  그 충격과 고통으로 딸이 평생 남을 상처에 가슴을 치며 울부짖고 있습니다.  은페, 조작, 부정행위로 혐의 없다 불기소처분!!ㅠㅠ",2020-07-11,"286,148",https://www1.president.go.kr/petitions/589634
64,인권/성평등,<텔레그램 n번방 사건 특별조사팀을 서지현 검사를 필두로 한 80%이상 여성 조사팀으로 만들어 주십시오>,2020-04-23,"286,101",https://www1.president.go.kr/petitions/587130
65,보건복지,"권역외상센터 (이국종 교수님) 추가적, 제도적, 환경적, 인력 지원",2017-12-17,"281,985",https://www1.president.go.kr/petitions/45581
66,육아/교육,“정부아이돌봄서비스 아이돌보미 영유아 폭행 강력 처벌 및 재발방지방안 수립을 부탁합니다.”(14개월 아기가 아이돌보미에게  폭행을 당했습니다.),2019-05-01,"281,764",https://www1.president.go.kr/petitions/579353
67,안전/환경,미세먼지의 위험 그리고 오염 및 중국에대한 항의,2018-04-23,"278,128",https://www1.president.go.kr/petitions/174292
68,정치개혁,국회의원 급여를 최저시급으로 책정해 주세요,2018-02-14,"277,674",https://www1.president.go.kr/petitions/96427
69,정치개혁,최**과 이하 비슷한 리벤지포르노 범들 강력징역해주세요.,2018-11-03,"275,806",https://www1.president.go.kr/petitions/397558
70,문화/예술/체육/언론,방송통신위원회는 방송의 공적 책임 방기하고  언론이기를 포기한 채널A와 TV조선의 재승인을 취소하라,2020-05-07,"273,513",https://www1.president.go.kr/petitions/587827
71,육아/교육,우리아이의 억울한 죽음은 끝나지 않았습니다.해인이법의 조속한 입법을 청원합니다.,2019-11-28,"271,502",https://www1.president.go.kr/petitions/583346
72,육아/교육,저의 아들이 6년간다닌어린이집 에서 남자원장으로부터 3년간 성폭행을 당했습니다,2020-03-08,"271,123",https://www1.president.go.kr/petitions/585007
73,정치개혁,"시민의 이름으로, 이번 김경수 지사 재판에 관련된 법원 판사 전원의 사퇴를 명령합니다.",2019-03-01,"270,999",https://www1.president.go.kr/petitions/512112
74,기타,https 차단 정책에 대한 반대 의견,2019-03-13,"269,180",https://www1.president.go.kr/petitions/522031
75,인권/성평등,조재범 코치를 강력처벌해주세요,2019-01-17,"269,110",https://www1.president.go.kr/petitions/472309
76,인권/성평등,가해자 중심적인 성범죄의 양형기준을 재정비해주세요.,2019-12-15,"264,102",https://www1.president.go.kr/petitions/583605
77,문화/예술/체육/언론,한국기독교총연합회 사단법인 해산과  전** 대표회장 구속을 촉구 합니다,2020-01-25,"264,100",https://www1.president.go.kr/petitions/584204
78,인권/성평등,리얼돌 수입 및 판매를 금지해주세요,2019-08-07,"263,792",https://www1.president.go.kr/petitions/581300
79,인권/성평등,조두순의 출소를 반대합니다,2018-11-19,"261,418",https://www1.president.go.kr/petitions/412722
80,정치개혁,선관위의 위법사항 내용에 따른 국회의원 전원 위법사실 여부 전수조사를 청원합니다.,2018-05-16,"260,624",https://www1.president.go.kr/petitions/201953
81,기타,스티븐유(유승준) 입국금지 다시 해주세요. 국민 대다수의 형평성에 맞지 않고 자괴감이 듭니다.,2019-08-10,"259,864",https://www1.president.go.kr/petitions/581380
82,기타,[국민청원(안)] 신천지 교주 이**의 즉각적인 구속수사를 촉구합니다.,2020-03-26,"257,681",https://www1.president.go.kr/petitions/585610
83,인권/성평등,성범죄피해자의 집주소와 주민번호등을 가해자에게 보내는 법원을 막아주세요,2018-11-03,"257,471",https://www1.president.go.kr/petitions/398030
84,인권/성평등,5년 전 여성의 질과 항문에 팔을 넣어 사망에 이르게 한 사건의 재조사를 요구합니다,2018-11-21,"256,004",https://www1.president.go.kr/petitions/414891
85,성장동력,전안법 합리적으로 개정 또는 폐지해주세요.(소상공인 소비자 모두 죽는법안입니다.),2018-01-02,"255,554",https://www1.president.go.kr/petitions/57132
86,육아/교육,등교 개학 시기를 미루어주시기 바랍니다.,2020-05-24,"255,333",https://www1.president.go.kr/petitions/588340
87,기타,우리 아들 **이의 억울함을 풀어주세요.,2019-03-20,"255,113",https://www1.president.go.kr/petitions/530372
88,보건복지,정형식 판사에 대해서 이 판결과 그 동안 판결에 대한 특별 감사를 청원합니다!!!,2018-03-07,"252,969",https://www1.president.go.kr/petitions/127921
89,정치개혁,문재인 대통령의 탄핵을 청원합니다.,2019-05-30,"250,219",https://www1.president.go.kr/petitions/579840
90,인권/성평등,06년생 집단 폭행 사건,2019-10-23,"250,092",https://www1.president.go.kr/petitions/582785
91,기타,저는 아버지에게 15년동안 성폭행을 당했습니다. 도와주세요.,2020-04-01,"248,515",https://www1.president.go.kr/petitions/585926
92,문화/예술/체육/언론,일본 극우여론전에 이용되고 있는 가짜뉴스 근원지 조선일보 폐간 및 TV조선 설립허가취소,2019-08-10,"245,569",https://www1.president.go.kr/petitions/581384
93,정치개혁,국회의원 내년 연봉 2000만원 인상 추진..최저임금 인상률보다 높은 14%.. 셀프인상을 즉각 중단하십시오!!,2019-01-06,"243,938",https://www1.president.go.kr/petitions/462623
94,인권/성평등,조두순 사건의 피해자 가족을 우롱하는 윤서인을 처벌해주십시오,2018-03-25,"242,687",https://www1.president.go.kr/petitions/148806
95,경제민주화,삼성증권 시스템 규제와 공매도 금지,2018-05-06,"242,286",https://www1.president.go.kr/petitions/187633
96,인권/성평등,아동간 성폭력사고 시 강제력을 가진 제도를 마련해주시기 바랍니다.,2020-01-01,"241,135",https://www1.president.go.kr/petitions/583841
97,인권/성평등,무고죄 특별법의 제정을 촉구합니다.,2018-06-24,"240,618",https://www1.president.go.kr/petitions/244045
98,미래,대통령님께서 < 세월호참사 특별수사단 >설치와 세월호참사 전면재수사를 지시해주시기를 청원합니다!!,2019-04-28,"240,529",https://www1.president.go.kr/petitions/577697
99,육아/교육,아동 성폭행범을 감형한 *** 판사 파면하라,2019-07-14,"240,298",https://www1.president.go.kr/petitions/580884
100,문화/예술/체육/언론,티비 조선의  종편 허가 취소 청원,2018-05-14,"236,714",https://www1.president.go.kr/petitions/199622
101,인권/성평등,고 장자연의 한맺힌 죽음의 진실을 밝혀주세요.,2018-03-28,"235,796",https://www1.president.go.kr/petitions/151430
102,인권/성평등,낙태죄 폐지와 자연유산 유도약(미프진) 합법화 및 도입을 부탁드립니다.,2017-10-30,"235,372",https://www1.president.go.kr/petitions/18278
103,안전/환경,일간베스트 저장소(일베) 사이트 폐쇄를 요청합니다,2018-02-24,"235,167",https://www1.president.go.kr/petitions/113699
104,기타,인천 여중생 자살 가해자 강력 처벌 희망 요망,2018-10-19,"234,236",https://www1.president.go.kr/petitions/384676
105,인권/성평등,미성년자 성폭행 형량 올려주세요 종신형원합니다,2018-02-02,"233,842",https://www1.president.go.kr/petitions/79162
106,문화/예술/체육/언론,더 이스트라이트 폭행,2018-11-18,"233,495",https://www1.president.go.kr/petitions/411485
107,문화/예술/체육/언론,언론사의 가짜뉴스의 강력한 처벌을 청원합니다,2019-09-25,"229,202",https://www1.president.go.kr/petitions/582301
108,성장동력,<가상화폐규제반대> 정부는 국민들에게 단 한번이라도 행복한 꿈을 꾸게 해본적 있습니까?,2018-01-27,"228,295",https://www1.president.go.kr/petitions/76020
109,행정,전 언론의 세무조사를 명령한다.,2019-10-10,"227,314",https://www1.president.go.kr/petitions/582620
110,인권/성평등,국가인권위가 조국 장관과 가족 수사과정에서 빚어진 무차별 인권 침해를  조사할 것을 청원합니다,2019-11-14,"226,434",https://www1.president.go.kr/petitions/583122
111,반려동물,유기견 보호소 폐지를 막아주세요!!!,2018-06-12,"226,252",https://www1.president.go.kr/petitions/231701
112,육아/교육,"울산 초등학교 1학년 아이에게 팬티빨기 숙제내고 학생 사진에 '섹시팬티', '공주님 수줍게 클리어', '매력적이고 섹시한 00'이라고 성희롱한 남교사를 파면해 주세요.",2020-05-28,"225,764",https://www1.president.go.kr/petitions/588455
113,교통/건축/국토,어머니를 살해한 음주운전자에게 솜방망이 처벌이 내려졌습니다. 제발 도와주세요.,2019-03-30,"225,638",https://www1.president.go.kr/petitions/541615
114,외교/통일/국방,김무성 전 의원을 내란죄로 다스려주십시오.,2019-06-02,"224,852",https://www1.president.go.kr/petitions/579927
115,기타,문재인 대통령님께 청원합니다.,2018-06-24,"224,539",https://www1.president.go.kr/petitions/242950
116,인권/성평등,"성전환 수술, 즉 외부성기 수술 없이도 남녀 성별을 변경하는 성별정정을 막아 주십시오.",2020-04-12,"223,769",https://www1.president.go.kr/petitions/586650
117,안전/환경,"불쌍한 우리 형님을 찾아주시고, 살인범 ***의 사형을 청원합니다.",2019-07-07,"223,006",https://www1.president.go.kr/petitions/580707
118,인권/성평등,단역배우 자매 자살 사건 제발 재조사를 해주세여.,2018-04-02,"222,770",https://www1.president.go.kr/petitions/157046
119,육아/교육,짐승보다 못한 위탁모 에게 굶기고 맞아죽은 15개월된 저희딸 얘기좀 들어주세요....,2019-01-05,"221,317",https://www1.president.go.kr/petitions/462340
120,문화/예술/체육/언론,대구 동성로/서울 시청광장   퀴어행사(동성애축제)개최를 반대합니다.,2018-07-14,"219,987",https://www1.president.go.kr/petitions/270921
121,인권/성평등,유/아동 성착취 동영상 유통시킨 다크웹 손모씨의 미국 법무부 강제송환을 실행해주십시오.,2020-04-22,"219,721",https://www1.president.go.kr/petitions/586926
122,인권/성평등,성 착취 사건인 'n번방 사건'의 근본적인 해결을 위한 국제 공조 수사를 청원합니다.,2020-02-01,"219,705",https://www1.president.go.kr/petitions/584284
123,교통/건축/국토,대전 아파트 단지내 횡단보도 교통사고..가해자의 만행과 도로교통법의 허점,2018-02-13,"219,395",https://www1.president.go.kr/petitions/95138
124,인권/성평등,영광 여고생 사건 가해자들 강력 처벌해주새요,2019-03-21,"217,786",https://www1.president.go.kr/petitions/531087
125,반려동물,이천에서 벌어진 동물수간사건에 대한 강력한 처벌과 동물학대에 대한 범국가적인 대책마련을 촉구합니다.,2019-06-19,"217,483",https://www1.president.go.kr/petitions/580325
126,반려동물,**대 수의대에서 실험중인 퇴역 탐지견을 구조해주십시요,2019-05-16,"217,249",https://www1.president.go.kr/petitions/579585
127,인권/성평등,대검찰청의 불법적인 성폭력 수사메뉴얼  중단을 요청합니다.,2018-06-27,"217,143",https://www1.president.go.kr/petitions/246489
128,육아/교육,미혼모를 위한 히트 앤드 런 방지법을 만들어주세요. #GIRLS_CAN_DO_ANYTHING,2018-03-25,"217,054",https://www1.president.go.kr/petitions/148613
129,기타,GMO완전표시제 시행을 촉구합니다!,2018-04-11,"216,886",https://www1.president.go.kr/petitions/164255
130,인권/성평등,2019형제*****호 가해용의자의 상장 취소 및 장학금 환수와 구속수사 및 가해용의자 보호기관들의 사죄를 청원합니다.,2019-06-26,"216,862",https://www1.president.go.kr/petitions/580452
131,안전/환경,심신미약 피의자에 의해 죽게된 우리 딸 억울하지 않게 해주세요,2018-11-17,"216,834",https://www1.president.go.kr/petitions/410524
132,안전/환경,'주취감형(술을 먹으면 형벌 감형)' 폐지를 건의(청원)합니다.,2017-12-04,"216,774",https://www1.president.go.kr/petitions/26024
133,안전/환경,"중국 알루미늄공장,막아주세요",2018-12-22,"216,615",https://www1.president.go.kr/petitions/449519
134,교통/건축/국토,카풀반대,2018-11-15,"216,448",https://www1.president.go.kr/petitions/408154
135,기타,어른들에게 성적 학대와 조롱을 당하고 있는 아이들을 구해주세요.,2018-05-15,"216,163",https://www1.president.go.kr/petitions/199778
136,기타,세월호 전면재수사,2020-05-01,"216,118",https://www1.president.go.kr/petitions/587604
137,정치개혁,중국인 영주권자의 지방선거 투표권 박탈해야합니다.,2020-04-01,"215,646",https://www1.president.go.kr/petitions/586110
138,보건복지,부산 산부인과 신생아 두개골 손상 사건의 진상규명과 관련자 처벌을 청원합니다.,2019-11-23,"215,186",https://www1.president.go.kr/petitions/583272
139,안전/환경,세월호 관련 청문회 위증한 조여옥대위 징계바랍니다.,2018-04-27,"215,036",https://www1.president.go.kr/petitions/178781
140,보건복지,경남양산시 모 산부인과 의료사고 입니다. 제발 도와주세요 (산모의 남편입니다),2018-11-17,"214,952",https://www1.president.go.kr/petitions/410447
141,육아/교육,비리 수사 중임에도 불구하고 교육청 시정 명령까지 무시하고 끝까지 자신의 잘못을 인정하지 않는 ******고등학교 교장을 사법결과 나오기 전에 직무정지 시켜 주세요,2019-03-23,"214,658",https://www1.president.go.kr/petitions/534182
142,반려동물,개.고양이 식용종식 전동연(개를 가축에서 제외하라),2018-07-17,"214,634",https://www1.president.go.kr/petitions/272632
143,안전/환경,강서구 아파트 살인사건 피해차의 딸입니다.,2018-11-22,"214,306",https://www1.president.go.kr/petitions/417147
144,반려동물,도살장에서 망치로 머리를 맞던 개가 잠시 튀어나가 옆에있는 자신의 새끼에게 젖물리며 죽었습니다. 짐승만도 못한 개도살을 자행하는 사람들..개도살을 멈추게해주세요,2018-12-27,"214,251",https://www1.president.go.kr/petitions/454045
145,인권/성평등,고 김성재님의 사망 미스테리를 다룬 그것이 알고싶다 방영하게 해주세요,2019-09-04,"213,858",https://www1.president.go.kr/petitions/581808
146,안전/환경,"한국내 일본산 활어유통과 일본해수 무단 방류, 무법깡패 일본 활어차 단속불가",2019-08-25,"213,581",https://www1.president.go.kr/petitions/581667
147,기타,버닝썬 VIP룸 6인을 수사해 주세요,2019-05-11,"213,327",https://www1.president.go.kr/petitions/579523
148,문화/예술/체육/언론,KBS 수신료 전기요금 분리징수 청원,2019-11-09,"213,306",https://www1.president.go.kr/petitions/583046
149,인권/성평등,초.중.고 학교 페미니즘교육 의무화,2018-02-05,"213,219",https://www1.president.go.kr/petitions/81026
150,기타,제주도 카니발 사건,2019-09-15,"213,219",https://www1.president.go.kr/petitions/582070
151,육아/교육,축구클럽에 축구한다고 차량에 태워 보낸 아이가 돌아오지 않았습니다,2019-06-23,"213,025",https://www1.president.go.kr/petitions/580402
152,문화/예술/체육/언론,포털사이트 ‘네이버’에 대한 철저한 수사가 필요합니다.,2018-02-17,"212,992",https://www1.president.go.kr/petitions/101349
153,인권/성평등,강서구 데이트폭력 살인미수사건 강력한 처벌을 촉구합니다,2020-07-31,"212,867",https://www1.president.go.kr/petitions/590258
154,안전/환경,11.15포항지진 피해배상 및 지역재건 특별법』제정을 간곡히 요청합니다.,2019-04-21,"212,675",https://www1.president.go.kr/petitions/570236
155,반려동물,"표창원 의원의 개, 고양이 도살 금지 법안을 통과 시켜주세요!",2018-07-24,"212,424",https://www1.president.go.kr/petitions/281200
156,안전/환경,제발 도와주세요.. 너무나 사랑하는 23살 예쁜딸이 잔인한 두번의 살인행위로 차디찬 주검으로 돌아왔습니다...,2018-11-30,"211,766",https://www1.president.go.kr/petitions/426349
157,정치개혁,소년법 개정을 촉구 합니다!  17살 조카가 자살을 했습니다,2018-11-23,"211,546",https://www1.president.go.kr/petitions/418376
158,인권/성평등,김학의 성접대 관련 피해자 신분보호와 관련자들에 대한 엄정수사를 촉구합니다,2019-04-13,"211,344",https://www1.president.go.kr/petitions/561699
159,안전/환경,동전택시기사사망사건. 철저한 수사와 엄정하고 강력한 처벌을 촉구합니다. 저희 아버님의 억울함을 풀어주세요.,2019-03-17,"211,339",https://www1.president.go.kr/petitions/527553
160,문화/예술/체육/언론,디스패치 폐간을 요청합니다,2018-07-26,"211,296",https://www1.president.go.kr/petitions/284845
161,반려동물,자두를 잔혹하게 살해한 범인을 잡아 강력 처벌해주세요 (동물보호법강화해주세요),2019-08-15,"211,240",https://www1.president.go.kr/petitions/581465
162,기타,"전안법. 18살, 미성년자에게 정부가 직접 찍어주는 범죄자 낙인!",2017-12-24,"211,064",https://www1.president.go.kr/petitions/49083
163,정치개혁,전자개표기 폐지 동의하시길 부탁드립니다,2020-03-12,"210,801",https://www1.president.go.kr/petitions/585083
164,정치개혁,국회의원도 국민이 직접 소환할 수 있어야 합니다.,2019-05-24,"210,344",https://www1.president.go.kr/petitions/579708
165,안전/환경,위장•몰래카메라 판매금지와 몰카범죄 처벌을 강화해주세요.,2018-04-22,"209,494",https://www1.president.go.kr/petitions/173355
166,인권/성평등,"대한민국의 채용성차별을 규탄하고, 여⦁남 동일고용 동일임금 및 여성의무할당제을 요구합니다.",2019-11-23,"209,397",https://www1.president.go.kr/petitions/583277
167,문화/예술/체육/언론,도서정가제의 폐지를 청원합니다.,2019-11-13,"209,133",https://www1.president.go.kr/petitions/583076
168,문화/예술/체육/언론,"라이엇 코리아의 그리핀, 조** 전 그리핀 대표, 김** 현 DRX 감독의 징계에 대한 재조사가 필요합니다.",2019-12-20,"208,739",https://www1.president.go.kr/petitions/583677
169,인권/성평등,웹하드 카르텔과 디지털성범죄 산업에 대해 특별 수사를 요구한다.,2018-08-28,"208,543",https://www1.president.go.kr/petitions/322420
170,문화/예술/체육/언론,"연극인 이윤택씨의 상습 성폭행, 성폭력 피의사실에 대한 철저한 진상규명과 조사를 촉구합니다.",2018-03-19,"208,522",https://www1.president.go.kr/petitions/141333
171,인권/성평등,여고생이  중고생8명에게 관악산끌려가 집단폭행을당했습니다  소년법폐지또는 개정청원합니다,2018-08-02,"208,202",https://www1.president.go.kr/petitions/294226
172,인권/성평등,"공공연한 여성 대상 약물 범죄 처벌과 ***을 비롯한 클럽, 유흥업소와 경찰 간의 유착에 대한 제대로 된 수사 및 처벌을 하라",2019-02-28,"207,784",https://www1.president.go.kr/petitions/511075
173,경제민주화,경제민주화,2018-03-10,"207,772",https://www1.president.go.kr/petitions/134590
174,행정,자가격리를 어기고 제주도 4박5일 여행.미국유학생 강남구 **번 확진자 처벌해주세요,2020-04-26,"207,563",https://www1.president.go.kr/petitions/587334
175,외교/통일/국방,남편선교사가 안티폴로감옥에 있습니다. (필리핀),2018-07-17,"207,275",https://www1.president.go.kr/petitions/273112
176,인권/성평등,부하 여군을 강간한 두 명의 해군 간부를 처벌해주십시오.,2018-12-09,"206,447",https://www1.president.go.kr/petitions/436901
177,정치개혁,"계엄령 문건 수사 관련, 윤석열 검찰청장에 대한 수사를 촉구합니다.",2019-11-23,"205,668",https://www1.president.go.kr/petitions/583274
178,안전/환경,진주 방화 및 살인 범죄자에 대해서 무관용 원칙이 필요합니다.,2019-05-18,"202,804",https://www1.president.go.kr/petitions/579612
179,인권/성평등,"경찰은 ‘일베 여친, 전여친 몰카사건’을 철저히 수사해서 범죄자들 처벌하라",2018-12-19,"202,548",https://www1.president.go.kr/petitions/446686
